detail_url,loc,nick,price,sales,title
https://click.simba.taobao.com/cc_im?p=%D1%C0%B8%E0&s=1224926120&k=621&e=5MsAMLWJSrk1qyPyOv16dE6Znb8fCPEows5QTl8%2BVCj%2BaqjnVX5uncQsfKE6cZvuMTF3wxalULS2MXG497qngI%2BKouVhPHQ9q5GcpYipbws7ecyIWfOd6R0Y7pgvcr2RAoo8A3RXVXqDnXpdGQJRHGaABW%2BGcy6t35klJi%2B9%2Ff1cHxIQrZsyJjcY%2Bv2qKM%2FZBHglGZbteyQW2pqmqzWU1S2mvfnBuYQ5bxHxXcXdfW9HsHsXZ7HG2pmIdpEarthxxC8ulKdE1mDZ9Vjzucv3srSvhmkiW%2BByoeqtSqqxQTLbu7ngZt82aBpXNaOXRBt%2FoA9QkdyTYZXVjAQImH%2BGkywtCAn8OX4ACQapeOyKYkBnwOQZ102zQUAll1V7NIKD0BvWbHOsbJ2c%2BKnzoVw2TcVziMzB2wuvDUb%2FijHHLvofThw11JFtHH%2Bqns69kaeGbj5Rn1CV4kvBEd9IClrFLNuI5ux8nEHQxaCw5BK5aZaskcRtwkv3hb7RQrrxSCt82PCl81apRV5gHo1ntjf8WJz4qfOhXDZN95yvtzC3tA8g30qbgugpG0iO%2B5Wb5zC2S8d837nmo8cfSVw%2Bpzhme1%2BgrvFcs9Fs0ipBnSvqmR4%3D#detail,广东 惠州,安安国际金纯直销店,15.00,1人付款,布兰氏早晚植物酵素牙膏去口气去烟渍茶渍美
https://click.simba.taobao.com/cc_im?p=%D1%C0%B8%E0&s=1224926120&k=621&e=BJxDbKukTYc1qyPyOv16dE6Znb8fCPEows5QTl8%2BVCj%2BaqjnVX5uncQsfKE6cZvuMTF3wxalULTBeGh6vmGXKcT%2F7aHLHjEhq5GcpYipbws7ecyIWfOd6R0Y7pgvcr2RAoo8A3RXVXqDnXpdGQJRHGaABW%2BGcy6t35klJi%2B9%2Ff1cHxIQrZsyJjcY%2Bv2qKM%2FZBHglGZbteyQW2pqmqzWU1S2mvfnBuYQ5bxHxXcXdfW9HsHsXZ7HG2pmIdpEarthxxC8ulKdE1mDZ9Vjzucv3srSvhmkiW%2BByoeqtSqqxQTLbu7ngZt82aBpXNaOXRBt%2FoA9QkdyTYZXVjAQImH%2BGkywtCAn8OX4ACQapeOyKYkBnwOQZ102zQUAll1V7NIKDf9ce3J%2B6QkwQRfwmWtBGruoAtNSeuwgCgKlSm5B1iRbr4NOyGAvZmI0l7ThX1erOhq18E8FdN9uNfEbnUhh5i9uI5ux8nEHQS3HCQkIRmw6bMr%2BhtcxADhg%2BjWIIGheli08u7yIsfTjGT5UKOYiuVPygl1vccmPqsW1s1WMfPbXbtBVIw1t%2FFOO5nmCSL3B1HHyG2k34pkBiX0lNATHmqZh2NbaWE%2FZNDm9JmrxAgUU%3D,广东 广州,健得乐旗舰店,139.00,1人付款,健得乐骆驼奶牙膏
https://click.simba.taobao.com/cc_im?p=%D1%C0%B8%E0&s=1224926120&k=729&e=plqdholRXzw1qyPyOv16dE6Znb8fCPEows5QTl8%2BVCj%2BaqjnVX5uncQsfKE6cZvuMTF3wxalULR68tI%2F7s1rokrJs2Ij9H0fp%2FXmnnyWM007ecyIWfOd6R0Y7pgvcr2RAoo8A3RXVXqDnXpdGQJRHGaABW%2BGcy6t35klJi%2B9%2Ff1cHxIQrZsyJjcY%2Bv2qKM%2FZBHglGZbteyQW2pqmqzWU1S2mvfnBuYQ5bxHxXcXdfW9HsHsXZ7HG2pmIdpEarthxxC8ulKdE1mDZ9Vjzucv3srSvhmkiW%2BByoeqtSqqxQTLbu7ngZt82aBpXNaOXRBt%2FoA9QkdyTYZXVjAQImH%2BGkywtCAn8OX4AMmxPAFT106BQQ8rEfr2wV93bB8XP67fWY3vZMzcJvhozxPc8Tmn3WDyFPMim0iqmQQCsWDuUC7U4fz6m1ZUv87cOnH9itEgtFvIZnOfx%2FWMCb3nbvi17bG9%2FMMW%2FPqL6wocPgAMTIbka5atuvtJV%2BL33n38eBLrPMa%2FjVnnAI%2FYRcLQ6mwumMuH%2BrCcLK6YrGD6NYggaF6WLTy7vIix9OL5e363ZaoPOtw6cf2K0SC0jj4j4x%2B%2BWRQtmuGfOUxQzLC0ICfw5fgDOK9DUdm%2FBoZyN7rxGoili73uBN%2Fi6uGl2RqGEgiwSit7SagkP3EPsa7J3RSXPtflQ%2BPzsm4lZudroQdun6hKbUP6CYcHIRsUaQvz3g78IOQ%3D%3D#detail,重庆,huaxianglili520,30.00,20人付款,治口臭去口气祛口臭口腔异味牙膏迈克洁去渍
//detail.tmall.com/item.htm?id=585815243578&ns=1&abbucket=15,浙江 宁波,舒客艾迷专卖店,29.90,1118人付款,【小红书同款】舒客舒克酵素美白牙膏去黄去口臭口气清新家庭装
//detail.tmall.com/item.htm?id=588060459276&ns=1&abbucket=15,上海,欧美斯居家日用专营店,12.90,2002人付款,【送杯子牙刷】黑人牙膏超白竹炭1支 套装美白去黄口臭旗舰店官方
//detail.tmall.com/item.htm?id=565712252631&ns=1&abbucket=15,上海,jordan母婴旗舰店,59.00,503人付款,Jordan进口防蛀防龋婴幼儿童树莓牙膏0-1-2-3-5-6+岁小孩宝宝2支
//detail.tmall.com/item.htm?id=565789388462&ns=1&abbucket=15,上海,elmex官方旗舰店,114.90,290人付款,原装进口elmex0-6岁防蛀儿童牙膏50ml*3
//detail.tmall.com/item.htm?id=37210533130&ns=1&abbucket=15,广东 广州,两面针旗舰店,59.90,236人付款,两面针中药消痛消肿牙膏牙龈出血牙周肿痛反复性牙痛牙疼牙膏
//item.taobao.com/item.htm?id=572663787848&ns=1&abbucket=15#detail,江苏 苏州,悦心悦目333,68.00,1405人付款,avecmoi海洋之风益生菌牙膏 成人去口气清新口臭清洁口腔异味正品
//detail.tmall.com/item.htm?id=559177867829&ns=1&abbucket=15,广东 广州,哲升居家日用专营店,29.80,1241人付款,舒客舒克亮白牙膏牙刷去黄去口臭口气清新家用11件家庭实惠装套装
